title,property,value
Velvet Scoter,Has WAP15 ID,ncwap15-spp-white-winged-scoter
Velvet Scoter,Is NC Present,NC
Velvet Scoter,Is SGCN,true
Velvet Scoter,Is WAP Management Concern,true
Velvet Scoter,Present Wintering,true
Velvet Scoter,Was WAP Evaluated,true
Acadian Flycatcher,Has AOS4 Code,ACFL
Acadian Flycatcher,Has AOS59 Code,1303
Acadian Flycatcher,Has AOS6 Code,EMPVIR
Acadian Flycatcher,Has AOS60 Code,1139
Acadian Flycatcher,Has Avibase Code,2778A3F42BBFEBD5
Acadian Flycatcher,Has Common Name,Acadian Flycatcher
Acadian Flycatcher,Has eBird Code,acafly
Acadian Flycatcher,Has Family,Tyrannidae
Acadian Flycatcher,Has Genus,Empidonax
Acadian Flycatcher,Has Habitat,Floodplains-Blackwater Systems
Acadian Flycatcher,Has Habitat,Floodplains-Brownwater Systems
Acadian Flycatcher,Has Habitat,Mesic Forests
Acadian Flycatcher,Has Habitat,Nonalluvial Mineral Wetlands
Acadian Flycatcher,Has Habitat,Pocosins
Acadian Flycatcher,Has Habitat,Upland Pools and Depressions
Acadian Flycatcher,Has Habitat,Floodplains-Brownwater Systems
Acadian Flycatcher,Has Habitat,Wet Pine Savannas
Acadian Flycatcher,Has Habitat,Floodplains-Inland Systems
Acadian Flycatcher,Has Order,Passeriformes
Acadian Flycatcher,Has PIF Pop Est,5227271
Acadian Flycatcher,Has Plan,Partners In Flight Landbird Conservation Plan 2016
Acadian Flycatcher,Has Plan,South Atlantic Migratory Bird Initiative Implmentation Plan 2008
Acadian Flycatcher,Has Scientific Name,Empidonax virescens
Acadian Flycatcher,Has Species Taxonomy,virescens
Acadian Flycatcher,Has WAP15 ID,ncwap15-spp-acadian-flycatcher
Acadian Flycatcher,Is NC Present,NC
Acadian Flycatcher,Is SGCN,true
Acadian Flycatcher,Present Breeding,true
Acadian Flycatcher,Was WAP Evaluated,true
Acadian Flycatcher,Has Habitat,Maritime Forests
Acadian Flycatcher,Has Habitat,Small River Systems/Large Creeks
Acadian Flycatcher,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
Acadian Flycatcher,Has Priority,NCWAP 2015 Management Practices Priority 189
Acadian Flycatcher,Has Priority,NCWAP 2015 Management Practices Priority 224
Acadian Flycatcher,Has Priority,NCWAP 2015 Management Practices Priority 228
Alder Flycatcher,Has AOS4 Code,ALFL
Alder Flycatcher,Has AOS59 Code,1304
Alder Flycatcher,Has AOS6 Code,EMPALN
Alder Flycatcher,Has AOS60 Code,1140
Alder Flycatcher,Has Avibase Code,338088120A17D3EA
Alder Flycatcher,Has Common Name,Alder Flycatcher
Alder Flycatcher,Has eBird Code,aldfly
Alder Flycatcher,Has Family,Tyrannidae
Alder Flycatcher,Has Genus,Empidonax
Alder Flycatcher,Has Habitat,Successional Communities
Alder Flycatcher,Has Order,Passeriformes
Alder Flycatcher,Has PIF Half Life,65
Alder Flycatcher,Has PIF Pop Est,117998630
Alder Flycatcher,Has Plan,Golden-Winged Warbler Status Review And Conservation Plan 2012
Alder Flycatcher,Has Plan,Partners In Flight Landbird Conservation Plan 2016
Alder Flycatcher,Has Scientific Name,Empidonax alnorum
Alder Flycatcher,Has Species Taxonomy,alnorum
Alder Flycatcher,Has WAP15 ID,ncwap15-spp-alder-flycatcher
Alder Flycatcher,Is NC Present,NC
Alder Flycatcher,Is SGCN,true
Alder Flycatcher,Present Breeding,true
Alder Flycatcher,Was WAP Evaluated,true
Alder Flycatcher,Has Habitat,Bogs and Fens
Alder Flycatcher,Has Priority,NCWAP 2015 Surveys Priority 279
American Avocet,Has AOS4 Code,AMAV
American Avocet,Has AOS59 Code,444
American Avocet,Has AOS6 Code,RECAME
American Avocet,Has AOS60 Code,392
American Avocet,Has Avibase Code,8EB0C1FABC1D725A
American Avocet,Has Common Name,American Avocet
American Avocet,Has eBird Code,ameavo
American Avocet,Has Family,Recurvirostridae
American Avocet,Has Genus,Recurvirostra
American Avocet,Has Habitat,Freshwater Tidal Wetlands
American Avocet,Has Order,Charadriiformes
American Avocet,Has PIF Half Life,0
American Avocet,Has PIF Pop Est,450000
American Avocet,Has Plan,South Atlantic Migratory Bird Initiative Implmentation Plan 2008
American Avocet,Has Scientific Name,Recurvirostra americana
American Avocet,Has Species Taxonomy,americana
American Avocet,Has WAP15 ID,ncwap15-spp-american-avocet
American Avocet,Is NC Present,NC
American Avocet,Is SGCN,true
American Avocet,Present Wintering,true
American Avocet,Was WAP Evaluated,true
American Avocet,Has Habitat,Estuarine Wetland Communities
American Avocet,Has Habitat,Natural Lakes
American Avocet,Has Habitat,Reservoirs and Impoundments
American Avocet,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
American Bittern,Has AOS4 Code,AMBI
American Bittern,Has AOS59 Code,727
American Bittern,Has AOS6 Code,BOTLEN
American Bittern,Has AOS60 Code,218
American Bittern,Has Avibase Code,13E9F9B48CD5A08A
American Bittern,Has Common Name,American Bittern
American Bittern,Has eBird Code,amebit
American Bittern,Has Family,Ardeidae
American Bittern,Has Genus,Botaurus
American Bittern,Has Habitat,Estuarine Wetland Communities
American Bittern,Has Habitat,Freshwater Tidal Wetlands
American Bittern,Has Order,Pelecaniformes
American Bittern,Has PIF Half Life,0
American Bittern,Has PIF Pop Est,2507797
American Bittern,Has Plan,North American Waterbird Conservation Plan 2002
American Bittern,Has Plan,South Atlantic Migratory Bird Initiative Implmentation Plan 2008
American Bittern,Has Scientific Name,Botaurus lentiginosus
American Bittern,Has Species Taxonomy,lentiginosus
American Bittern,Has WAP15 ID,ncwap15-spp-american-bittern
American Bittern,Is NC Present,NC
American Bittern,Is SGCN,true
American Bittern,Is WAP Knowledge Concern,true
American Bittern,Present Breeding,true
American Bittern,Present Wintering,true
American Bittern,Was WAP Evaluated,true
American Bittern,Has Habitat,Stream Swamps
American Bittern,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
American Bittern,Has Priority,NCWAP 2015 Research Priority 158
American Bittern,Has Priority,NCWAP 2015 Surveys Priority 551
American Black Duck,Has AOS4 Code,ABDU
American Black Duck,Has AOS59 Code,49
American Black Duck,Has AOS6 Code,ANARUB
American Black Duck,Has AOS60 Code,36
American Black Duck,Has Avibase Code,C732CB106EE8BAE8
American Black Duck,Has Common Name,American Black Duck
American Black Duck,Has eBird Code,ambduc
American Black Duck,Has Family,Anatidae
American Black Duck,Has Genus,Anas
American Black Duck,Has Habitat,Floodplains-Brownwater Systems
American Black Duck,Has Habitat,Estuarine Wetland Communities
American Black Duck,Has Habitat,Freshwater Tidal Wetlands
American Black Duck,Has Habitat,Floodplains-Inland Systems
American Black Duck,Has Order,Anseriformes
American Black Duck,Has PIF Half Life,0
American Black Duck,Has PIF Pop Est,583500
American Black Duck,Has Plan,Conservation Plan For The American Black Duck 2011
American Black Duck,Has Plan,North American Waterfowl Management Plan 2018
American Black Duck,Has Plan,South Atlantic Migratory Bird Initiative Implmentation Plan 2008
American Black Duck,Has Scientific Name,Anas rubripes
American Black Duck,Has Species Taxonomy,rubripes
American Black Duck,Has WAP15 ID,ncwap15-spp-american-black-duck
American Black Duck,Is NC Present,NC
American Black Duck,Is SGCN,true
American Black Duck,Is WAP Management Concern,true
American Black Duck,Present Breeding,true
American Black Duck,Present Wintering,true
American Black Duck,Was WAP Evaluated,true
American Black Duck,Has Geography,Bird Conservation Region 27
American Black Duck,Has Habitat,Estuarine Aquatic Communities
American Black Duck,Has Habitat,Floodplains-Blackwater Systems
American Black Duck,Has Habitat,Large River Systems
American Black Duck,Has Habitat,Medium River Systems
American Black Duck,Has Habitat,Natural Lakes
American Black Duck,Has Habitat,Reservoirs and Impoundments
American Black Duck,Has Habitat,Small River Systems/Large Creeks
American Black Duck,Has Habitat,Stream Swamps
American Black Duck,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
American Coot,Has AOS4 Code,AMCO
American Coot,Has AOS59 Code,435
American Coot,Has AOS6 Code,FULAME
American Coot,Has AOS60 Code,360
American Coot,Has Avibase Code,361EA10C79791B9F
American Coot,Has Common Name,American Coot
American Coot,Has eBird Code,y00475
American Coot,Has Family,Rallidae
American Coot,Has Genus,Fulica
American Coot,Has Order,Gruiformes
American Coot,Has PIF Half Life,0
American Coot,Has PIF Pop Est,5517522
American Coot,Has Plan,North American Waterbird Conservation Plan 2002
American Coot,Has Plan,South Atlantic Migratory Bird Initiative Implmentation Plan 2008
American Coot,Has Scientific Name,Fulica americana
American Coot,Has Species Taxonomy,americana
American Coot,Has WAP15 ID,ncwap15-spp-american-coot
American Coot,Is NC Present,NC
American Coot,Is WAP Management Concern,true
American Coot,Present Breeding,true
American Coot,Present Wintering,true
American Coot,Was WAP Evaluated,true
American Coot,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
American Coot,Has Priority,NCWAP 2015 Research Priority 489
American Crow,Has AOS4 Code,AMCR
American Crow,Has AOS59 Code,1395
American Crow,Has AOS6 Code,CORBRA
American Crow,Has AOS60 Code,1296
American Crow,Has Avibase Code,9E9F24769B6ACBE3
American Crow,Has Common Name,American Crow
American Crow,Has eBird Code,amecro
American Crow,Has Family,Corvidae
American Crow,Has Genus,Corvus
American Crow,Has Order,Passeriformes
American Crow,Has PIF Pop Est,28047630
American Crow,Has Plan,Conservation Plan For The American Oystercatcher 2007
American Crow,Has Plan,Partners In Flight Landbird Conservation Plan 2016
American Crow,Has Scientific Name,Corvus brachyrhynchos
American Crow,Has Species Taxonomy,brachyrhynchos
American Crow,Has WAP15 ID,ncwap15-spp-american-crow
American Crow,Is NC Present,NC
American Crow,Present Breeding,true
American Crow,Present Wintering,true
American Crow,Was WAP Evaluated,true
American Kestrel,Has AOS4 Code,AMKE
American Kestrel,Has AOS59 Code,998
American Kestrel,Has AOS6 Code,FALSPA
American Kestrel,Has AOS60 Code,323
American Kestrel,Has Avibase Code,20C2214E655A79AB
American Kestrel,Has Common Name,American Kestrel
American Kestrel,Has eBird Code,amekes
American Kestrel,Has Family,Falconidae
American Kestrel,Has Genus,Falco
American Kestrel,Has Habitat,Floodplains-Blackwater Systems
American Kestrel,Has Habitat,Floodplains-Brownwater Systems
American Kestrel,Has Habitat,Dry Longleaf Pine Communities
American Kestrel,Has Habitat,Successional Communities
American Kestrel,Has Habitat,Dry Longleaf Pine Communities
American Kestrel,Has Habitat,Successional Communities
American Kestrel,Has Habitat,Dry Longleaf Pine Communities
American Kestrel,Has Habitat,Successional Communities
American Kestrel,Has Order,Falconiformes
American Kestrel,Has PIF Half Life,58
American Kestrel,Has PIF Pop Est,2827776
American Kestrel,Has Plan,Partners In Flight Landbird Conservation Plan 2016
American Kestrel,Has Plan,South Atlantic Migratory Bird Initiative Implmentation Plan 2008
American Kestrel,Has Plan,Status Review And Conservation Recommendations For The Gull-Billed Tern In North America 2010
American Kestrel,Has Scientific Name,Falco sparverius
American Kestrel,Has Species Taxonomy,sparverius
American Kestrel,Has WAP15 ID,ncwap15-spp-american-kestrel
American Kestrel,Is NC Present,NC
American Kestrel,Is SGCN,true
American Kestrel,Present Breeding,true
American Kestrel,Present Wintering,true
American Kestrel,Was WAP Evaluated,true
American Kestrel,Has Habitat,Wet Pine Savannas
American Kestrel,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
American Kestrel,Has Priority,NCWAP 2015 Monitoring Priority 121
American Pipit,Has AOS4 Code,AMPI
American Pipit,Has AOS59 Code,1678
American Pipit,Has AOS6 Code,ANTRUB
American Pipit,Has AOS60 Code,1521
American Pipit,Has Avibase Code,8F26868274C1EE0A
American Pipit,Has Common Name,American Pipit
American Pipit,Has eBird Code,amepip
American Pipit,Has Family,Motacillidae
American Pipit,Has Genus,Anthus
American Pipit,Has Order,Passeriformes
American Pipit,Has PIF Half Life,0
American Pipit,Has PIF Pop Est,18034890
American Pipit,Has Plan,Partners In Flight Landbird Conservation Plan 2016
American Pipit,Has Scientific Name,Anthus rubescens
American Pipit,Has Species Taxonomy,rubescens
American Pipit,Has WAP15 ID,ncwap15-spp-american-pipit
American Pipit,Is NC Present,NC
American Pipit,Is WAP Knowledge Concern,true
American Pipit,Present Wintering,true
American Pipit,Was WAP Evaluated,true
American Redstart,Has AOS4 Code,AMRE
American Redstart,Has AOS59 Code,1983
American Redstart,Has AOS6 Code,SETRUT
American Redstart,Has AOS60 Code,1576
American Redstart,Has Avibase Code,BED38F505F0B8509
American Redstart,Has Common Name,American Redstart
American Redstart,Has eBird Code,amered
American Redstart,Has Family,Parulidae
American Redstart,Has Genus,Setophaga
American Redstart,Has Order,Passeriformes
American Redstart,Has PIF Pop Est,42464674
American Redstart,Has Plan,Conservation Action Plan For Bicknell's Thrush 2010
American Redstart,Has Plan,Golden-Winged Warbler Status Review And Conservation Plan 2012
American Redstart,Has Plan,Partners In Flight Landbird Conservation Plan 2016
American Redstart,Has Plan,South Atlantic Migratory Bird Initiative Implmentation Plan 2008
American Redstart,Has Scientific Name,Setophaga ruticilla
American Redstart,Has Species Taxonomy,ruticilla
American Redstart,Has WAP15 ID,ncwap15-spp-american-redstart
American Redstart,Is NC Present,NC
American Redstart,Present Breeding,true
American Redstart,Was WAP Evaluated,true
American Robin,Has AOS4 Code,AMRO
American Robin,Has AOS59 Code,1603
American Robin,Has AOS6 Code,TURMIG
American Robin,Has AOS60 Code,1472
American Robin,Has Avibase Code,D77E4B418D581FB2
American Robin,Has Common Name,American Robin
American Robin,Has eBird Code,amerob
American Robin,Has Family,Turdidae
American Robin,Has Genus,Turdus
American Robin,Has Order,Passeriformes
American Robin,Has PIF Pop Est,366076928
American Robin,Has Plan,Partners In Flight Landbird Conservation Plan 2016
American Robin,Has Plan,Status Assessment And Conservation Plan For The Henslow's Sparrow 2012
American Robin,Has Scientific Name,Turdus migratorius
American Robin,Has Species Taxonomy,migratorius
American Robin,Has WAP15 ID,ncwap15-spp-american-robin
American Robin,Is NC Present,NC
American Robin,Present Breeding,true
American Robin,Present Wintering,true
American Robin,Was WAP Evaluated,true
American Wigeon,Has AOS4 Code,AMWI
American Wigeon,Has AOS59 Code,44
American Wigeon,Has AOS6 Code,MARAME
American Wigeon,Has AOS60 Code,12821
American Wigeon,Has Avibase Code,D201EB7230F20770
American Wigeon,Has Common Name,American Wigeon
American Wigeon,Has eBird Code,amewig
American Wigeon,Has Family,Anatidae
American Wigeon,Has Genus,Mareca
American Wigeon,Has Order,Anseriformes
American Wigeon,Has PIF Half Life,0
American Wigeon,Has PIF Pop Est,2997300
American Wigeon,Has Plan,North American Waterfowl Management Plan 2018
American Wigeon,Has Plan,South Atlantic Migratory Bird Initiative Implmentation Plan 2008
American Wigeon,Has Scientific Name,Mareca americana
American Wigeon,Has Species Taxonomy,americana
American Wigeon,Has WAP15 ID,ncwap15-spp-american-wigeon
American Wigeon,Is NC Present,NC
American Wigeon,Is WAP Management Concern,true
American Wigeon,Present Wintering,true
American Wigeon,Was WAP Evaluated,true
American Wigeon,Has Geography,Bird Conservation Region 27
American Wigeon,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
American Woodcock,Has AOS4 Code,AMWO
American Woodcock,Has AOS59 Code,512
American Woodcock,Has AOS6 Code,SCOMIN
American Woodcock,Has AOS60 Code,456
American Woodcock,Has Avibase Code,F4829920F1710E56
American Woodcock,Has Common Name,American Woodcock
American Woodcock,Has eBird Code,amewoo
American Woodcock,Has Family,Scolopacidae
American Woodcock,Has Genus,Scolopax
American Woodcock,Has Habitat,Floodplains-Brownwater Systems
American Woodcock,Has Habitat,Successional Communities
American Woodcock,Has Habitat,Successional Communities
American Woodcock,Has Habitat,Floodplains-Brownwater Systems
American Woodcock,Has Habitat,Successional Communities
American Woodcock,Has Order,Charadriiformes
American Woodcock,Has PIF Half Life,0
American Woodcock,Has PIF Pop Est,3500000
American Woodcock,Has Plan,American Woodcock Management Plan 1990
American Woodcock,Has Plan,Golden-Winged Warbler Status Review And Conservation Plan 2012
American Woodcock,Has Plan,South Atlantic Migratory Bird Initiative Implmentation Plan 2008
American Woodcock,Has Scientific Name,Scolopax minor
American Woodcock,Has Species Taxonomy,minor
American Woodcock,Has WAP15 ID,ncwap15-spp-american-woodcock
American Woodcock,Is Audubon Priority,true
American Woodcock,Is NC Present,NC
American Woodcock,Is WAP Knowledge Concern,true
American Woodcock,Is WAP Management Concern,true
American Woodcock,Present Breeding,true
American Woodcock,Present Wintering,true
American Woodcock,Was WAP Evaluated,true
American Woodcock,Has Habitat,Floodplains-Blackwater Systems
American Woodcock,Has Habitat,Floodplains-Inland Systems
American Woodcock,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
Anhinga,Has AOS4 Code,ANHI
Anhinga,Has AOS59 Code,723
Anhinga,Has AOS6 Code,ANHANH
Anhinga,Has AOS60 Code,213
Anhinga,Has Avibase Code,FBDAE86A5CF7B698
Anhinga,Has Common Name,Anhinga
Anhinga,Has eBird Code,anhing
Anhinga,Has Family,Anhingidae
Anhinga,Has Genus,Anhinga
Anhinga,Has Habitat,Floodplains-Brownwater Systems
Anhinga,Has Habitat,Nonalluvial Mineral Wetlands
Anhinga,Has Habitat,Floodplains-Brownwater Systems
Anhinga,Has Order,Suliformes
Anhinga,Has PIF Half Life,0
Anhinga,Has PIF Pop Est,27000
Anhinga,Has Plan,North American Waterbird Conservation Plan 2002
Anhinga,Has Plan,South Atlantic Migratory Bird Initiative Implmentation Plan 2008
Anhinga,Has Scientific Name,Anhinga anhinga
Anhinga,Has Species Taxonomy,anhinga
Anhinga,Has WAP15 ID,ncwap15-spp-anhinga
Anhinga,Is NC Present,NC
Anhinga,Present Breeding,true
Anhinga,Was WAP Evaluated,true
Anhinga,Has Habitat,Floodplains-Blackwater Systems
Anhinga,Has Habitat,Freshwater Tidal Wetlands
Anhinga,Has Habitat,Large River Systems
Anhinga,Has Habitat,Medium River Systems
Anhinga,Has Habitat,Natural Lakes
Anhinga,Has Habitat,Reservoirs and Impoundments
Anhinga,Has Habitat,Small River Systems/Large Creeks
Anhinga,Has Priority,NCWAP 2015 Surveys Priority 200
Bachman's Sparrow,Has AOS4 Code,BACS
Bachman's Sparrow,Has AOS59 Code,1825
Bachman's Sparrow,Has AOS6 Code,PEUAES
Bachman's Sparrow,Has AOS60 Code,1697
Bachman's Sparrow,Has Avibase Code,DAD22BB68CF2206A
Bachman's Sparrow,Has Common Name,Bachman's Sparrow
Bachman's Sparrow,Has eBird Code,bacspa
Bachman's Sparrow,Has Family,Passerellidae
Bachman's Sparrow,Has Genus,Peucaea
Bachman's Sparrow,Has Habitat,Floodplains-Blackwater Systems
Bachman's Sparrow,Has Habitat,Dry Longleaf Pine Communities
Bachman's Sparrow,Has Habitat,Successional Communities
Bachman's Sparrow,Has Habitat,Successional Communities
Bachman's Sparrow,Has Habitat,Successional Communities
Bachman's Sparrow,Has Habitat,Successional Communities
Bachman's Sparrow,Has Habitat,Dry Longleaf Pine Communities
Bachman's Sparrow,Has Habitat,Pocosins
Bachman's Sparrow,Has Habitat,Successional Communities
Bachman's Sparrow,Has Habitat,Successional Communities
Bachman's Sparrow,Has Order,Passeriformes
Bachman's Sparrow,Has PIF Half Life,24
Bachman's Sparrow,Has PIF Pop Est,167964
Bachman's Sparrow,Has Plan,Partners In Flight Landbird Conservation Plan 2016
Bachman's Sparrow,Has Plan,South Atlantic Migratory Bird Initiative Implmentation Plan 2008
Bachman's Sparrow,Has Plan,Status Assessment And Conservation For The Grasshopper Sparrow 2015
Bachman's Sparrow,Has Scientific Name,Peucaea aestivalis
Bachman's Sparrow,Has Species Taxonomy,aestivalis
Bachman's Sparrow,Has State Status,special concern
Bachman's Sparrow,Has WAP15 ID,ncwap15-spp-bachmans-sparrow
Bachman's Sparrow,Is NC Present,NC
Bachman's Sparrow,Is SGCN,true
Bachman's Sparrow,Present Breeding,true
Bachman's Sparrow,Present Wintering,true
Bachman's Sparrow,Was WAP Evaluated,true
Bachman's Sparrow,Has Geography,Bird Conservation Region 27
Bachman's Sparrow,Has Geography,Bird Conservation Region 29
Bachman's Sparrow,Has Habitat,Wet Pine Savannas
Bachman's Sparrow,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
Bachman's Sparrow,Has Priority,NCWAP 2015 Monitoring Priority 121
Bachman's Warbler,Has AOS4 Code,BAWA
Bachman's Warbler,Has AOS59 Code,1951
Bachman's Warbler,Has AOS6 Code,VERBAC
Bachman's Warbler,Has AOS60 Code,1532
Bachman's Warbler,Has Avibase Code,207491AE88C23BE8
Bachman's Warbler,Has Common Name,Bachman's Warbler
Bachman's Warbler,Has eBird Code,bacwar
Bachman's Warbler,Has Family,Parulidae
Bachman's Warbler,Has Federal Status,endangered
Bachman's Warbler,Has Genus,Vermivora
Bachman's Warbler,Has Order,Passeriformes
Bachman's Warbler,Has PIF Half Life,0
Bachman's Warbler,Has Plan,Partners In Flight Landbird Conservation Plan 2016
Bachman's Warbler,Has Scientific Name,Vermivora bachmanii
Bachman's Warbler,Has Species Taxonomy,bachmanii
Bachman's Warbler,Has State Status,endangered
Bachman's Warbler,Has WAP15 ID,ncwap15-spp-bachmans-warbler
Bachman's Warbler,Is NC Present,NC
Bachman's Warbler,Has Plan,South Atlantic Migratory Bird Initiative Implementation Plan 2008
Bald Eagle,Has AOS4 Code,BAEA
Bald Eagle,Has AOS59 Code,795
Bald Eagle,Has AOS6 Code,HALLEU
Bald Eagle,Has AOS60 Code,270
Bald Eagle,Has Avibase Code,FED3756C12CF67FA
Bald Eagle,Has Common Name,Bald Eagle
Bald Eagle,Has eBird Code,baleag
Bald Eagle,Has Family,Accipitridae
Bald Eagle,Has Genus,Haliaeetus
Bald Eagle,Has Habitat,Floodplains-Brownwater Systems
Bald Eagle,Has Habitat,Estuarine Wetland Communities
Bald Eagle,Has Habitat,Freshwater Tidal Wetlands
Bald Eagle,Has Habitat,Maritime Forests
Bald Eagle,Has Habitat,Floodplains-Inland Systems
Bald Eagle,Has Habitat,Upland Pools and Depressions
Bald Eagle,Has Order,Accipitriformes
Bald Eagle,Has PIF Pop Est,200000
Bald Eagle,Has Plan,Golden-Winged Warbler Status Review And Conservation Plan 2012
Bald Eagle,Has Plan,Partners In Flight Landbird Conservation Plan 2016
Bald Eagle,Has Plan,South Atlantic Migratory Bird Initiative Implmentation Plan 2008
Bald Eagle,Has Scientific Name,Haliaeetus leucocephalus
Bald Eagle,Has Species Taxonomy,leucocephalus
